LABID,BAPS2_1092,NewBaps,Genome.Set,Pathogen,Serotype.x,Source,Year,ErmB,ErmG,ErmT,linB,lnuB,lnuC,lsaE,vgaLC,mefA,mel,parC,tet44,tetM,tetO,tetW,tet40,tetL,tetOW32O,ANT4Ib,ANT6Ia,ANT6Ib,ANT6Ib1,ANT9Ia,APH3IIIa,ANT1,aadE1,aadE2,dfr:1,dfr:2,dfrF,dfrK,folP,cat1,blaZ,pbp2B,pbp2X:1,pbp2X:2,pbp2X:3,mraY
1637946,1,1,Canada,SYS-OTHER,5,Pig,2014,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
1644048,18,4,Canada,SYS-OTHER,1,Pig,2014,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
1650131,23,25,Canada,SYS-OTHER,2,Pig,2014,no,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
1650132,23,26,Canada,SYS-OTHER,1/2,Pig,2014,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
1651929,23,26,Canada,RESP,2,Pig,2014,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
1652716,2,1,Canada,SYS-BRAIN,4,Pig,2014,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
1654537,23,26,Canada,RESP,1/2,Pig,2014,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
1656890,2,1,Canada,SYS-OTHER,3,Pig,2014,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
1659834,18,4,Canada,SYS-OTHER,1,Pig,2014,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
1661949,23,25,Canada,SYS-OTHER,1/2,Pig,2014,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
1665814,1,1,Canada,SYS-OTHER,4,Pig,2014,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
1666725,26,27,Canada,SYS-OTHER,2,Pig,2014,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
1666727,18,4,Canada,SYS-OTHER,14,Pig,2014,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
1667796,26,27,Canada,SYS-BRAIN,2,Pig,2014,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
1671154,5,21,Canada,SYS-OTHER,27,Pig,2014,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no
87_4647,6,10,Canada,UNKNOWN,NA,Pig,1987,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
88_2775,5,21,Canada,RESP,13,Pig,1988,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,yes
88_5454A,22,25,Canada,RESP,3,Pig,1988,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
89_1591,26,27,Canada,SYS-OTHER,2,Pig,1989,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
89_1824,3,2,Canada,SYS-BRAIN,19,Pig,1989,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no
89_289,6,9,Canada,UNKNOWN,9,Pig,1989,yes,no,no,yes,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,yes
89_4004,23,26,Canada,RESP,1/2,Pig,1989,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
89_4223,23,26,Canada,RESP,2,Pig,1989,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
89_4294,3,2,Canada,RESP,19,Pig,1989,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
89_5046,26,27,Canada,SYS-BRAIN,2,Pig,1989,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
89_5189,6,10,Canada,UNKNOWN,NA,Pig,1989,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
89_5197,9,8,Canada,RESP,16,Pig,1989,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,yes
89_6891_2,26,27,Canada,RESP,2,Pig,1989,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
89_88_422,7,14,Canada,RESP,31,Pig,1989,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
90_1145,6,9,Canada,UNKNOWN,31,Pig,1990,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,yes
90_2741_7,26,27,Canada,SYS-BRAIN,2,Pig,1990,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
90_3615_2,6,10,Canada,SYS-OTHER,11,Pig,1990,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no
90_4400,16,NA,Canada,RESP,NA,Pig,1990,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,yes
90_4517_4,6,10,Canada,RESP,11,Pig,1990,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes
90_546,1,1,Canada,RESP,NA,Pig,1990,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
91_1174,6,10,Canada,RESP,1,Pig,1991,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
91_173B_752,6,10,Canada,SYS-BRAIN,1,Pig,1991,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
91_175B_2156,23,25,Canada,RESP,1/2,Pig,1991,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
