"LABID","PT","Penicillin","Amoxicillin","Meropenem","Cefotaxime","Ceftriaxone","Cefuroxime"
"2009218358","0-0-3",0.25,0.03,0.06,0.06,0.5,0.5
"2010208436","0-0-3",0.03,0.03,0.06,0.06,0.5,0.5
"20153032","0-0-3",0.03,0.03,0.06,0.06,0.5,0.5
"20151894","0-0-3",0.03,0.03,0.06,0.06,0.5,0.5
"2012215830","0-0-3",0.03,0.03,0.06,0.06,0.5,0.5
"20153415","0-0-3",0.03,0.03,0.06,0.06,0.5,0.5
"2010206726","0-0-3",0.03,0.03,0.06,0.06,0.5,0.5
"20152263","0-0-3",0.03,0.03,0.06,0.06,0.5,0.5
"2009203268","0-0-3",0.03,0.03,0.06,0.06,0.5,0.5
"20151888","0-0-3",0.03,0.03,0.06,0.06,0.5,0.5
"2013218169","0-0-3",0.03,0.03,0.06,0.06,0.5,0.5
"2013222025","0-0-3",0.03,0.03,0.06,0.06,0.5,0.5
"2013208517","0-0-3",0.03,0.03,0.06,0.06,0.5,0.5
"3523-06","0-0-3",0.03,0.03,0.06,0.06,0.5,0.5
"2013214720","0-1-1",0.12,0.06,0.06,0.06,0.5,0.5
"20152893","0-1-1",0.03,0.03,0.06,0.06,0.5,0.5
"2011216577","0-1-1",0.12,0.06,0.06,0.06,0.5,0.5
"20152259","0-1-1",0.25,0.12,0.06,0.06,0.5,0.5
"20153227","0-1-1",0.12,0.06,0.06,0.06,0.5,0.5
"20152829","0-1-1",0.25,0.06,0.06,0.12,0.5,0.5
"20153314","0-1-1",0.25,0.06,0.06,0.12,0.5,0.5
"20152920","0-1-1",0.25,0.06,0.06,0.06,0.5,0.5
"20153421","0-1-1",0.25,0.06,0.06,0.12,0.5,0.5
"20151898","0-1-1",0.25,0.06,0.06,0.12,0.5,0.5
"20151639","0-1-1",0.25,0.06,0.06,0.06,0.5,0.5
"20153015","0-1-1",0.25,0.12,0.06,0.06,0.5,0.5
"2009218370","0-1-1",0.25,0.03,0.06,0.06,0.5,0.5
"2013222065","0-1-1",0.25,0.12,0.06,0.12,0.5,0.5
"20152276","0-1-1",0.25,0.06,0.06,0.06,0.5,0.5
"2013212860","0-1-1",0.25,0.06,0.06,0.12,0.5,0.5
"20151899","0-1-1",0.25,0.12,0.06,0.06,0.5,0.5
"2012213979","0-1-1",0.12,0.06,0.06,0.06,0.5,0.5
"20152665","0-1-1",0.25,0.06,0.06,0.12,0.5,0.5
"2012215804","0-1-1",0.25,0.06,0.06,0.06,0.5,0.5
"2012214417","0-1-1",0.25,0.06,0.06,0.06,0.5,0.5
"20153433","0-1-1",0.25,0.12,0.06,0.12,0.5,0.5
"20152881","0-1-1",0.25,0.06,0.06,0.06,0.5,0.5
"20152959","0-1-1",0.12,0.06,0.06,0.12,0.5,0.5
"20154474","0-1-1",0.25,0.06,0.06,0.06,0.5,0.5
"20154519","0-1-1",0.25,0.06,0.06,0.12,0.5,0.5
