"LABID","PT","D1","D2"
"20160888","1-4-2",-1.4498080314043,-1.20336339787036
"20160889","0-1-1",-0.86395547629203,1.89228392576446
"20160890","3-2-5",-1.44980803140118,-1.20336339786856
"20160891","7-8-9",2.68302298219423,4.23081867570397
"20160892","2-6-0",-1.44980803140245,-1.20336339786947
"20160893","2-0-2",-0.486944587709168,-1.21771059208186
"20160894","23-0-139",-1.44980803140137,-1.20336339786869
"20160895","1-0-0",-1.44980803140131,-1.2033633978686
"20160896","2-6-0",-1.44980803140112,-1.20336339786853
"20160897","0-0-2",-1.44980803140214,-1.20336339786926
"20160898","24-27-11",0.347766448388912,2.65067934040307
"20160899","2-0-0",-1.44980803140117,-1.2033633978686
"20160900","93-0-176",0.94931702165474,-1.42150767480155
"20160901","1-2-2",-1.44980803140137,-1.20336339786869
"20160902","2-0-2",-1.44980803140201,-1.20336339786903
"20160903","0-0-17",-1.44980803140333,-1.20336339786979
"20160904","1-2-2",-1.44980803140091,-1.20336339786841
"20160905","7-8-9",2.40939220379618,3.52484137609559
"20160906","4-7-7",6.78068795120761,3.37105250964862
"20160907","2-0-2",-1.44980803140156,-1.20336339786883
"20160908","1-4-2",-1.44980803140124,-1.20336339786862
"20160909","0-0-2",-1.44980803140267,-1.20336339786924
"20160910","2-0-2",-1.44980803140232,-1.20336339786908
"20160911","3-5-5",-1.44980803140209,-1.20336339786912
"20160912","2-6-10",-1.4498080314022,-1.20336339786918
"20160913","0-0-2",-1.44980803140104,-1.20336339786847
"20160914","4-7-7",8.34351685202528,4.35465605946048
"20160915","2-0-2",-1.44980803140093,-1.20336339786834
"20160916","0-0-2",-1.44980803140183,-1.20336339786902
"20160917","0-0-2",-1.44980803140208,-1.20336339786908
"20160918","1-4-2",-0.486944587708417,-1.2177105920795
"20160919","6-7-36",5.74618711181652,3.35901861236411
"20160920","0-0-2",-1.44980803140258,-1.20336339786931
"20160921","2-0-6",-1.44980803140194,-1.20336339786902
"20160922","12-4-3",-1.44980803140097,-1.20336339786838
"20160923","0-1-1",-0.400589310797599,1.9426427767541
"20160924","1-4-2",-1.44980803140147,-1.2033633978688
"20160925","0-0-0",-1.44980803140227,-1.20336339786918
"20160926","3-5-5",-1.44980803140234,-1.20336339786936
"20161039","0-0-0",-1.44980803140135,-1.2033633978687
"20161040","0-0-0",-1.44980803140126,-1.20336339786864
"20161041","1-2-2",-1.4498080314015,-1.20336339786857
"20161042","0-0-0",-1.44980803140155,-1.20336339786878
"20161043","3-5-5",-1.44980803140177,-1.20336339786903
"20161044","0-0-0",-1.44980803140322,-1.20336339786982
"20161045","3-5-5",-1.44980803140102,-1.20336339786848
"20161046","0-0-2",-1.44980803140145,-1.20336339786861
"20161047","0-0-0",-1.44980803140146,-1.20336339786873
"20161048","3-5-5",-1.44980803140095,-1.20336339786845
"20161049","2-78-3",-1.44980803140145,-1.20336339786866
"20161050","1-2-2",-1.44980803140162,-1.20336339786888
"20161051","2-0-2",-1.4498080314017,-1.20336339786886
"20161052","0-0-0",-1.44980803140218,-1.20336339786916
"20161054","1-4-2",-1.44980803140278,-1.20336339786966
"20161055","24-27-181",0.347766448377821,2.65067934040791
"20161056","2-0-2",-1.4498080314012,-1.20336339786849
"20161057","0-1-1",-0.10670200926054,2.13601450763599
"20161058","0-10-14",-0.119692252040251,-0.147995290699744
"20161059","1-0-0",-1.44980803140106,-1.20336339786846
"20161060","2-0-2",-1.44980803140249,-1.20336339786943
"20161061","1-4-2",-0.486944587708573,-1.21771059208036
"20161062","0-1-1",0.391763637572331,2.03698579471873
"20161063","1-0-0",-1.44980803140125,-1.20336339786855
"20161064","2-4-6",-1.4498080314014,-1.20336339786873
"20161137","2-3-2",-1.44980803140197,-1.20336339786895
"20161138","2-0-6",-1.44980803140082,-1.20336339786832
"20161139","2-6-0",-1.4498080314014,-1.20336339786875
"20161140","0-1-1",-0.863955476292131,1.89228392576457
"20161141","0-0-2",-1.44980803140149,-1.20336339786883
"20161142","12-0-0",-1.44980803140282,-1.20336339786925
"20161143","1-2-2",-1.44980803140094,-1.20336339786838
"20161144","1-2-2",-1.44980803140139,-1.20336339786873
"20161145","2-0-0",-0.486944587708736,-1.21771059208071
"20161146","2-6-0",-1.44980803140167,-1.20336339786899
"20161147","1-2-2",-1.44980803140286,-1.2033633978696
"20161148","2-0-2",-1.44980803140103,-1.20336339786847
"20161149","24-27-131",4.65891051877935,1.38161635852645
"20161150","1-118-23",-1.44980803140142,-1.20336339786872
"20161151","24-27-28",-0.400589310797801,1.94264277675407
"20161152","1-2-2",-1.44980803140202,-1.20336339786907
"20161153","0-0-191",-1.44980803140173,-1.20336339786893
"20161154","17-15-8",6.0217690234907,2.5635742855232
"20161155","9-0-3",1.46442227656307,1.5268198493781
"20161156","0-1-1",-0.863955476292966,1.89228392576442
"20161157","2-0-6",-1.44980803140145,-1.20336339786876
"20161158","2-4-4",-1.44980803140254,-1.20336339786927
"20161159","23-0-0",-1.44980803140185,-1.20336339786884
"20161160","0-0-2",-1.44980803140225,-1.20336339786888
"20161162","0-0-0",-1.44980803140365,-1.20336339787005
"20161163","97-1-1",-0.863955476293023,1.89228392576458
"20161165","23-0-0",-1.44980803140302,-1.20336339786955
"20161166","0-1-2",-0.486944587709793,-1.21771059208315
"20161167","1-2-2",-1.44980803140212,-1.2033633978691
"20161168","2-0-2",-1.44980803140276,-1.20336339786933
"20161169","12-0-0",-1.449808031402,-1.20336339786907
"20161170","12-0-0",-1.44980803140139,-1.20336339786856
"20161171","11-0-0",-1.44980803140174,-1.20336339786901
"20161172","2-0-0",-1.44980803140159,-1.20336339786881
"20161173","0-0-3",-1.44980803140124,-1.20336339786861
"20161174","0-0-0",-1.4498080314026,-1.20336339786927
"20161175","1-2-2",-1.44980803140159,-1.20336339786876
"20161176","2-0-0",-1.44980803140134,-1.20336339786862
"20161177","1-2-2",-1.44980803140093,-1.20336339786839
"20161178","1-4-2",-1.44980803140094,-1.20336339786837
"20161179","2-0-6",-1.44980803140129,-1.20336339786858
"20161181","0-2-0",-1.44980803140131,-1.20336339786859
"20161182","1-0-0",-0.486944587708747,-1.21771059208054
"20161183","2-0-6",-1.4498080314014,-1.20336339786869
"20161184","1-4-2",-1.44980803140144,-1.20336339786877
"20161185","2-3-2",-1.44980803140341,-1.20336339787003
"20161186","1-0-0",-1.44980803140091,-1.20336339786842
"20161187","8-0-11",-0.751973043244308,0.894635353440605
"20161188","1-0-0",-1.4498080314016,-1.20336339786878
"20161189","0-0-3",-1.44980803140105,-1.2033633978685
"20161190","1-2-2",-1.44980803140145,-1.20336339786878
"20161191","1-0-0",-1.44980803140147,-1.20336339786877
"20161192","24-27-192",0.335206621521049,-0.0180533881769802
"20161193","2-3-2",-1.44980803140176,-1.203363397869
"20161194","1-4-21",-0.673426895286387,-0.0671132186961497
"20161195","4-12-7",7.87776123269401,3.95744815978409
"20161243","12-0-0",-1.44980803140108,-1.20336339786853
"20161244","1-6-0",-1.44980803140188,-1.20336339786891
"20161245","0-10-14",-1.43207760972689,0.170069394914518
"20161246","1-2-2",-1.44980803140122,-1.20336339786853
"20161247","1-2-2",-1.44980803140233,-1.20336339786925
"20161248","2-6-0",-1.44980803140206,-1.20336339786906
"20161249","2-0-0",-1.44980803140425,-1.20336339787038
"20161250","4-7-7",7.73961394176025,4.74899531626752
"20161251","24-27-28",-0.8639554762947,1.89228392576452
"20161252","0-29-141",0.518525374476184,1.01263997075447
"20161253","0-0-3",-1.44980803140121,-1.20336339786859
"20161255","0-0-0",-1.44980803140125,-1.20336339786862
"20161256","2-0-2",-1.44980803140411,-1.20336339787013
"20161257","4-7-7",8.34351685202354,4.35465605946166
"20161258","1-2-2",-1.44980803140271,-1.20336339786939
"20161259","2-0-0",-1.44980803140231,-1.20336339786924
"20161260","0-1-1",-0.255057884180718,0.898097768095138
"20161261","1-0-0",-1.44980803140206,-1.20336339786909
"20161262","1-2-2",-1.44980803140133,-1.20336339786866
"20161263","2-0-6",-1.44980803140117,-1.20336339786848
"20161264","0-10-14",-1.43207760972407,0.170069394914355
"20161265","0-0-2",-1.44980803140192,-1.20336339786894
"20161266","2-0-120",-0.486944587708976,-1.21771059208167
"20161267","12-4-3",-1.44980803140149,-1.20336339786883
"20161268","2-0-2",-1.4498080314021,-1.20336339786901
"20161269","3-6-5",-1.44980803140128,-1.20336339786857
"20161270","1-2-2",-1.44980803140142,-1.20336339786872
"20161271","2-0-0",-1.44980803140113,-1.20336339786854
"20161272","1-44-2",-0.48694458770785,-1.21771059207826
"20161274","1-2-2",-1.44980803140113,-1.20336339786849
"20161275","2-4-6",-1.44980803140178,-1.20336339786892
"20161276","0-10-14",-0.119692252038492,-0.14799529070078
"20161277","2-0-6",-1.44980803140201,-1.20336339786906
"20161278","0-0-0",-1.44980803140131,-1.20336339786867
"20161279","13-11-16",9.59605621583478,6.577399850539
"20161280","2-3-2",-1.4498080314033,-1.20336339786994
"20161281","0-0-2",-1.44980803140111,-1.20336339786847
"20161282","1-2-2",-1.4498080314019,-1.20336339786901
"20161283","7-8-9",2.17376970462085,2.46439261365388
"20161284","2-0-2",-1.44980803140124,-1.20336339786863
"20161286","0-2-193",-0.486944587708046,-1.21771059207882
"20161287","3-5-5",-1.44980803140141,-1.20336339786872
"20161288","0-0-2",-1.4498080314013,-1.2033633978686
"20161289","12-0-0",-1.4498080314015,-1.2033633978688
"20161290","2-0-0",-1.44980803140098,-1.20336339786847
"20161292","2-4-0",-1.44980803140185,-1.2033633978689
"20161293","2-3-2",-1.44980803140188,-1.20336339786895
"20161294","24-27-143",4.24897512103966,1.75319668130328
"20161295","0-10-14",-0.255057884192495,0.898097768100708
"20161297","1-44-2",-1.44980803140198,-1.20336339786904
"20161298","2-4-6",-1.4498080314011,-1.20336339786853
"20161299","2-0-2",-1.44980803140124,-1.20336339786852
"20161300","2-0-6",-0.486944587707945,-1.21771059207825
"20161301","1-2-2",-1.449808031402,-1.20336339786908
"20161302","3-5-5",-1.44980803140108,-1.20336339786851
"20161303","79-26-194",1.29548890385412,0.203356190071563
"20161304","4-7-7",7.73961394176039,4.74899531626958
"20161305","3-5-5",-1.44980803140316,-1.20336339786954
"20161306","2-0-6",-0.04874978283692,-1.24879820757998
"20161307","12-4-3",-1.44980803140259,-1.20336339786941
"20161308","2-0-0",-1.44980803140171,-1.20336339786877
"20161309","2-0-2",-1.44980803140192,-1.20336339786894
"20161310","1-2-2",-1.44980803140133,-1.20336339786842
"20161311","0-0-3",-1.44980803140281,-1.20336339786941
"20161312","4-7-7",7.20626634387324,4.4453051239392
"20161313","2-0-2",-0.486944587708806,-1.21771059208071
"20161315","1-2-2",-1.44980803140186,-1.20336339786887
"20161317","0-0-2",-0.486944587709076,-1.21771059208185
"20161318","4-7-7",-0.486944587708286,-1.21771059207852
"20161319","1-2-2",-0.486944587709003,-1.21771059208146
"20161320","1-2-2",-1.4498080314012,-1.20336339786861
"20161321","0-1-1",0.391763637572845,2.03698579471934
"20161322","2-6-0",-1.44980803140226,-1.20336339786937
"20161323","2-0-6",-1.44980803140202,-1.20336339786902
"20161324","2-0-0",-1.44980803140092,-1.20336339786834
"20161325","0-1-1",0.391763637569763,2.03698579472018
"20161326","2-3-2",-1.44980803140274,-1.20336339786938
"20161349","2-0-2",-1.44980803140171,-1.20336339786876
"20161351","2-0-111",-0.0487497828376032,-1.24879820758197
"20161352","7-8-9",1.60073057420561,2.85684412426417
"20161353","2-0-6",-1.44980803140112,-1.20336339786855
"20161354","2-0-6",-1.44980803140126,-1.20336339786863
"20161355","12-4-3",-1.44980803140126,-1.20336339786862
"20161356","0-0-0",-1.44980803140114,-1.2033633978685
"20161357","3-5-5",-1.44980803140236,-1.20336339786906
"20161358","1-4-2",-1.44980803140163,-1.20336339786888
"20161359","12-0-3",-1.44980803140099,-1.20336339786847
"20161360","2-0-2",-1.4498080314014,-1.2033633978687
"20161361","3-5-5",-1.44980803140207,-1.203363397869
"20161362","23-0-0",-1.44980803140137,-1.20336339786872
"20161363","11-0-0",-1.44980803140148,-1.20336339786879
"20161364","0-29-11",0.100681228890371,1.07816929269425
"20161365","2-0-2",-1.44980803140207,-1.20336339786915
"20161366","24-27-28",-0.400589310795281,1.94264277675334
"20161367","1-2-2",-1.4498080314013,-1.20336339786862
"20161369","9-0-3",-1.44980803140376,-1.20336339786991
"20161372","17-7-8",7.20626634387355,4.44530512393875
"20161373","2-0-120",-0.486944587709051,-1.21771059208064
"20161374","2-3-2",-1.44980803140115,-1.20336339786859
"20161375","2-3-2",-1.44980803140127,-1.20336339786867
"20161376","0-1-1",-0.400589310799188,1.942642776754
"20161377","23-0-11",-0.48694458771005,-1.2177105920858
"20161378","2-0-6",-1.44980803140121,-1.20336339786861
"20161380","0-0-2",-1.44980803140198,-1.20336339786903
"20161381","2-3-2",-1.44980803140221,-1.20336339786919
"20161382","98-1-1",0.391763637566216,2.03698579472141
"20161383","2-0-2",-1.44980803140144,-1.20336339786877
"20161384","1-2-2",-1.44980803140127,-1.20336339786863
"20161385","0-1-1",0.391763637573413,2.03698579471828
"20161386","0-0-0",-1.44980803140281,-1.20336339786947
"20161387","24-27-28",-0.454330020433154,2.93724998513237
"20161388","0-0-0",-1.449808031401,-1.2033633978683
"20161389","2-0-6",-1.44980803140218,-1.20336339786914
"20161390","4-7-7",8.3435168520229,4.354656059463
"20161391","0-0-2",-1.44980803140146,-1.20336339786865
"20161392","3-5-5",-1.44980803140084,-1.20336339786829
"20161393","1-2-59",-1.44980803140101,-1.20336339786842
"20161394","1-4-2",-1.44980803140099,-1.20336339786847
"20161395","1-0-0",-0.486944587708487,-1.21771059207995
"20161396","24-27-13",1.43702195488552,2.4681371836499
"20161397","1-2-2",-1.44980803140227,-1.2033633978691
"20161398","2-0-6",-1.4498080314031,-1.20336339786959
"20161399","12-0-0",-1.44980803140105,-1.20336339786848
"20161400","1-2-2",-1.44980803140186,-1.20336339786902
"20161401","0-0-2",-1.44980803140094,-1.20336339786844
"20161402","4-7-7",8.18822571200894,5.66647109098507
"20161403","1-2-2",-1.44980803140166,-1.20336339786875
